nome,tipo_produto,sku,preco_brl,categoria,material_base,material_opcoes,tamanhos,imagem_principal,galeria_imagens
Choker Casco de Tartaruga,choker,q8NBg16KtQeAMUcN,650,Casco de Tartaruga,Prata 925,PRATA925|PRATA925COMBANHODEOURO,,https://giovanadiasjewelry.com.br/sc-bridge/images/285290/img_68dac86a563f4.png,
Brinco Casco de Tartaruga,brinco,NaqwNwzQLbtV8QMt,480,Casco de Tartaruga,Prata 925,PRATA925|PRATA925COMBANHODEOURO,,https://giovanadiasjewelry.com.br/sc-bridge/images/285292/img_68dacb015f62f.png,https://giovanadiasjewelry.com.br/sc-bridge/images/285291/img_68dac96126dd0.png
Anel Ariel,anel,LAULf5SS8x4AZOc3,680,,Prata 925,PRATA950|BANHADOAURO,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,https://giovanadiasjewelry.com.br/sc-bridge/images/285296/img_68dad786c8b64.png,
Anel Guardião do Mar,anel,2DjzLOE2Rz0bXN7j,480,,Prata 925,PRATA950|BANHADOAURO,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,https://giovanadiasjewelry.com.br/sc-bridge/images/285419/img_68dec6b178274.png,https://giovanadiasjewelry.com.br/sc-bridge/images/285420/img_68dec6b17a659.png|https://giovanadiasjewelry.com.br/sc-bridge/images/285421/img_68dec6b17bf43.png
Anel Memória do Mar,anel,QMYNNDR2s2WXYMvN,380,Memória do Mar,Prata 925,PRATA950|BANHADOAURO,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,https://giovanadiasjewelry.com.br/sc-bridge/images/285302/img_68dadf4061637.png,https://giovanadiasjewelry.com.br/sc-bridge/images/285303/img_68dae03803843.png|https://giovanadiasjewelry.com.br/sc-bridge/images/285301/img_68dadd567a09f.png
Anel Tentáculo,anel,0YyElKVYxxt2gu5g,400,,Prata 925,PRATA950|BANHADOAURO,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,https://giovanadiasjewelry.com.br/sc-bridge/images/285323/img_68db228124a65.png,https://giovanadiasjewelry.com.br/sc-bridge/images/285324/img_68db23c35f6d7.png|https://giovanadiasjewelry.com.br/sc-bridge/images/285325/img_68db23c360e00.png|https://giovanadiasjewelry.com.br/sc-bridge/images/285326/img_68db23c3621c1.png|https://giovanadiasjewelry.com.br/sc-bridge/images/285328/img_68db23d171b1d.png
Anel Falésia,anel,StQYoYCAtvytuvx,550,,Prata 925,PRATA950|BANHADOOURO,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,https://giovanadiasjewelry.com.br/sc-bridge/images/286906/img_68ff89c81dcb4.png,https://giovanadiasjewelry.com.br/sc-bridge/images/286909/img_68ff89c81f403.png|https://giovanadiasjewelry.com.br/sc-bridge/images/286870/img_68fee6b33d5e6.png
Anel Esponja,anel,4vt4uuF9JKg78tqM,450,,Prata 925,PRATA950|BANHADOOURO,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,https://giovanadiasjewelry.com.br/sc-bridge/images/286915/img_68ff8ac799c28.png,https://giovanadiasjewelry.com.br/sc-bridge/images/286918/img_68ff8ac799e12.png|https://giovanadiasjewelry.com.br/sc-bridge/images/286912/img_68ff8a2297744.png
Colar Canto da Sereia,colar,YVzwF1m7thQ809JE,680,,Prata 925,PRATA925|PRATA925COMBANHODEOURO,,https://giovanadiasjewelry.com.br/sc-bridge/images/285321/img_68db20c8bd21b.png,https://giovanadiasjewelry.com.br/sc-bridge/images/285322/img_68db20c8be938.png|https://giovanadiasjewelry.com.br/sc-bridge/images/285320/img_68db1f6354e88.png
Brinco Memória do Mar,brinco,I2rZLqyUMidbDyuY,620,Memória do Mar,Prata 925,PRATA925|PRATA925COMBANHODEOURO,,https://giovanadiasjewelry.com.br/sc-bridge/images/285307/img_68dae5324505c.png,https://giovanadiasjewelry.com.br/sc-bridge/images/285308/img_68dae65632500.png|https://giovanadiasjewelry.com.br/sc-bridge/images/285309/img_68dae65633e59.png
Colar Memória do Mar,colar,G6PYoyXRhkoZAdil,480,Memória do Mar,Prata 925,PRATA925|PRATA925COMBANHODEOURO,,https://giovanadiasjewelry.com.br/sc-bridge/images/285300/img_68dadb0f7da04.png,https://giovanadiasjewelry.com.br/sc-bridge/images/285304/img_68dae34c49c0a.png|https://giovanadiasjewelry.com.br/sc-bridge/images/285305/img_68dae3da5b51a.png
Brinco Jardim Silencioso,brinco,rPFO0sHVFeQ1IM21,480,,Prata 925,PRATA925,,https://giovanadiasjewelry.com.br/sc-bridge/images/285336/img_68db261d41a6a.png,https://giovanadiasjewelry.com.br/sc-bridge/images/285337/img_68db26dd05e29.png
Colar Amuleto Água Marinha,colar,4Ff467CjKxFcXOdJ,300,,Prata 925,PRATA925,,https://giovanadiasjewelry.com.br/sc-bridge/images/285297/img_68dad7f9c617c.png,https://giovanadiasjewelry.com.br/sc-bridge/images/285298/img_68dad9844b697.png|https://giovanadiasjewelry.com.br/sc-bridge/images/285299/img_68dada6359a5c.png
